Category,Quote
attributed-no-source,i'm selfish impatient little insecure make mistake control time hard handle can't handle worst sure hell deserve best
dance,gotta dance like there's nobody watching love like never hurt sing like there's nobody listening live like heaven earth
attributed-no-source,know love can't fall asleep reality finally better dream
friend,friend someone know still love
darkness,darkness cannot drive darkness light hate cannot drive hate love
inspirational,accept love think deserve
love,life truly believe find someone completely turn world around tell thing never shared another soul absorb everything say actually want hear share hope future dream never come true goal never achieved many disappointment life thrown something wonderful happens wait tell knowing share excitement embarrassed cry hurting laugh make fool never hurt feeling make feel like good enough rather build show thing make special even beautiful never pressure jealousy competition quiet calmness around worry think love thing seem insignificant people note song walk become invaluable treasure kept safe heart cherish forever memory childhood come back clear vivid like young colour seem brighter brilliant laughter seems part daily life infrequent exist phone call two day help get long day work always brings smile face presence need continuous conversation find quite content nearby thing never interested become fascinating know important person special think person every occasion everything simple thing bring mind like pale blue sky gentle wind even storm cloud horizon open heart knowing chance may broken one day opening heart experience love joy never dreamed possible find vulnerable way allow heart feel true pleasure real scare find strength knowing true friend possibly soul mate remain loyal end life seems completely different exciting worthwhile hope security knowing part life
life,better hated loved
love,read fell love way fall asleep slowly
activism,opposite love hate indifference opposite art ugliness indifference opposite faith heresy indifference opposite life death indifference
friendship,lack love lack friendship make unhappy marriage
love,love without knowing love simply without problem pride love way know way loving intimate hand upon chest hand intimate fall asleep eye close
do-wrong,love trust wrong none
love,ever love horrible make vulnerable open chest open heart mean someone get inside mess
courage,deeply loved someone give strength loving someone deeply give courage
attributed-no-source,life make matter going mess sometimes universal truth good part get decide going mess girl friend - they'll act like anyway remember come go one stay everything - they're true best friend let go also remember sister make best friend world lover well they'll come go baby hate say - actually pretty much going break heart can't give give never find soulmate never find half make whole go everything fail mean gonna fail everything keep trying hold always always always believe sweetie keep head high keep chin importantly keep smiling life's beautiful thing there's much smile
love,never time place true love happens accidentally heartbeat single flashing throbbing moment
essential,love condition happiness another person essential
katniss,love real real tell real
love,may first last loved may love love else matter perfect either two may never perfect together make laugh cause think twice admit human making mistake hold onto give may thinking every second day give part know break heart hurt change analyze expect give smile make happy let know make mad miss
